ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Manufacturer;Quantity;Minimal quantity;Visibility;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Condition
134;1;BILLETERA LV SENCILLA ROJA;BILLETERAS;$ 21.990 ;1;$ 21.990 ;1;7,39002E+12;LEVIS;1;1;;;;LEVIS;;;;Disponible;;;;Nuevo
135;1;PIERNERA FX REF: 680605 VERDE;ACCESORIOS;$ 29.990 ;1;$ 29.990 ;1;7,418E+12;FOX;1;1;;;;FOX;PIERNERA FX REF: 680605 VERDE;;;Disponible;;;;Nuevo
136;1;PIERNERA VIROX 9030 NEGRA;ACCESORIOS;$ 49.990 ;1;$ 49.990 ;1;7,418E+12;VIROX;1;1;;;;VIROX;PIERNERA VIROX 9030 NEGRA;;;Disponible;;;;Nuevo
137;1;BOLSO LC VARIOS REF: MAFF 1030;BOLSOS;$ 88.363 ;1;$ 88.363 ;1;7,42862E+12;LACOSTE;1;1;;;;LACOSTE;;;;Disponible;;;;Nuevo
138;1;MORRAL FX REF: 001 NEGRO;MORRALES;$ 109.990 ;1;$ 109.990 ;1;7,476E+12;FOX;1;1;;;;FOX;;;;Disponible;;;;Nuevo
139;1;MORRAL BILL REF: 6729 RAYADO NEGRO;MORRALES;$ 69.990 ;1;$ 69.990 ;1;7,476E+12;BILLABONG;1;1;;;;BILLABONG;;;;Disponible;;;;Nuevo
140;1;MORRAL TAPOUT TP002 AZUL;MORRALES;$ 59.990 ;1;$ 59.990 ;1;7,476E+12;TAPOUT;1;1;;;;TAPOUT;;;;Disponible;;;;Nuevo
141;1;MORRAL DC 7389 NEGRO;MORRALES;$ 109.990 ;1;$ 109.990 ;1;7,476E+12;DC;1;1;;;;DC;;;;Disponible;;;;Nuevo
142;1;MORRAL VOLCOM 7587 CAFEE;MORRALES;$ 109.990 ;1;$ 109.990 ;1;7,476E+12;VOLCOM;1;1;;;;VOLCOM;;;;Disponible;;;;Nuevo
143;1;BOLSO PL DIAGONAL REF: 002;BOLSOS;$ 79.990 ;1;$ 79.990 ;1;7,6091E+12;POLO RALPH LAUREN;1;1;;;;POLO RALPH LAUREN;;;;Disponible;;;;Nuevo
144;1;CARRIEL KLEY REF:907-1;MALETIN;$ 54.990 ;1;$ 54.990 ;1;7,614E+12;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
145;1;CARRIEL VICTORINOX 8201;MALETIN;$ 79.990 ;1;$ 79.990 ;1;7,614E+12;VICTORINOX;1;1;;;;VICTORINOX;;;;Disponible;;;;Nuevo
146;1;CARRIEL CAT REF: 82122 AMARILLO;MALETIN;$ 64.990 ;1;$ 64.990 ;1;7,614E+12;CAT;1;1;;;;CAT;;;;Disponible;;;;Nuevo
147;1;CARRIEL VOLUNTEER REF: 1191-06 NEGRO;MALETIN;$ 59.990 ;1;$ 59.990 ;1;7,614E+12;VOLUNTEER;1;1;;;;VOLUNTEER;;;;Disponible;;;;Nuevo
148;1;CARRIEL VICTORINOX REF : 1081;MALETIN;$ 54.990 ;1;$ 54.990 ;1;7,61401E+12;VICTORINOX;1;1;;;;VICTORINOX;;;;Disponible;;;;Nuevo
149;1;CARRIEL FAMOUS 020 GRIS;MALETIN;$ 24.990 ;1;$ 24.990 ;1;7,61402E+12;FAMOUS;1;1;;;;FAMOUS;;;;Disponible;;;;Nuevo
150;1;CARRIEL TUMI 6007 NEGRO;MALETIN;$ 99.990 ;1;$ 99.990 ;1;7,61402E+12;TUMI;1;1;;;;TUMI;;;;Disponible;;;;Nuevo
151;1;CARRIEL VIROX 9022 GRIS;MALETIN;$ 41.990 ;1;$ 41.990 ;1;7,61403E+12;VIROX;1;1;;;;VIROX;;;;Disponible;;;;Nuevo
152;1;CARRIEL LV 93224 NEGRO;MALETIN;$ 89.990 ;1;$ 89.990 ;1;7,61403E+12;LEVIS;1;1;;;;LEVIS;;;;Disponible;;;;Nuevo
153;1;CARRIEL MB 1660 NEGRO;MALETIN;$ 89.990 ;1;$ 89.990 ;1;7,61403E+12;MONT BLANC;1;1;;;;MONT BLANC;;;;Disponible;;;;Nuevo
154;1;CARRIEL EA 5809 NEGRO;MALETIN;$ 64.990 ;1;$ 64.990 ;1;7,61403E+12;EMPORIO ARMANI;1;1;;;;EMPORIO ARMANI;;;;Disponible;;;;Nuevo
155;1;CARRIEL DEPORTIVO NK 8813 GRIS;MALETIN;$ 27.990 ;1;$ 27.990 ;1;7,61403E+12;NIKE;1;1;;;;NIKE;;;;Disponible;;;;Nuevo
156;1;CARRIEL DEPORTIVO AD 8611 NEGRO;MALETIN;$ 27.990 ;1;$ 27.990 ;1;7,61403E+12;ADIDAS;1;1;;;;ADIDAS;;;;Disponible;;;;Nuevo
157;1;CARRIEL U-ARMOUR 005 AZUL;MALETIN;$ 54.990 ;1;$ 54.990 ;1;7,61404E+12;UNDER ARMOUR;1;1;;;;UNDER ARMOUR;;;;Disponible;;;;Nuevo
158;1;CARRIEL AE REF:253;MALETIN;$ 79.990 ;1;$ 79.990 ;1;7,6141E+12;AMERICAN EAGLE;1;1;;;;AMERICAN EAGLE;;;;Disponible;;;;Nuevo
159;1;RIÑONERA PRAD REF: 306;RIÑONERAS;$ 39.990 ;1;$ 39.990 ;1;7,65738E+12;PRADA;1;1;;;;PRADA;;;;Disponible;;;;Nuevo
160;1;CARRIEL PRAD REF: 6027;MALETIN;$ 31.990 ;1;$ 31.990 ;1;7,7491E+12;PRADA;1;1;;;;PRADA;;;;Disponible;;;;Nuevo
161;1;RELOJ VIROX DIGITAL PU BISEL R01YSD118;RELOJES;$ 44.990 ;1;$ 44.990 ;1;7,769E+12;VIROX;1;1;;;;VIROX;;;;Disponible;;;;Nuevo
162;1;CHALECO AD 09204 NEGRO M;CHALECOS;$ 86.990 ;1;$ 86.990 ;1;7,801E+12;ADIDAS;1;1;;;;ADIDAS;;;;Disponible;;;;Nuevo
